,genre
0, pop
1, dance pop
2, pop rap
3, rap
4, tropical house
5, post-teen pop
6, rock
7, trap music
8, hip hop
9, southern hip hop
10, latin
11, pop rock
12, dwn trap
13, edm
14, neo mellow
15, alternative rock
16, r&b
17, classic rock
18, latin pop
19, album rock
20, indie pop
21, alternative metal
22, indie rock
23, mellow gold
24, post-grunge
25, viral pop
26, hard rock
27, singer-songwriter
28, indie r&b
29, pop punk
30, folk-pop
31, soft rock
32, tropical
33, reggaeton
34, indie folk
35, indietronica
36, electro house
37, nu metal
38, permanent wave
39, canadian pop
40, gangster rap
41, indie poptimism
42, urban contemporary
43, contemporary country
44, hip pop
45, country road
46, country
47, garage rock
48, folk rock
49, house
50, big room
51, latin hip hop
52, rap metal
53, rock en espanol
54, stomp and holler
55, funk rock
56, soul
57, dirty south rap
58, chamber pop
59, grupera
60, europop
61, underground hip hop
62, regional mexican
63, modern country rock
64, blues-rock
65, roots rock
66, synthpop
67, dance rock
68, alternative dance
69, new wave pop
70, neo soul
71, adult standards
72, emo
73, progressive house
74, west coast rap
75, new wave
76, classic funk rock
77, banda
78, quiet storm
79, latin alternative
80, neo-psychedelic
81, new rave
82, psychedelic rock
83, norteno
84, deep big room
85, spanish pop
86, progressive electro house
87, art rock
88, rap rock
89, trap latino
90, funk
91, teen pop
92, motown
93, shimmer pop
94, electronic
95, metal
96, deep pop r&b
97, deep indie r&b
98, brostep
99, deep tropical house
100, crunk
101, regional mexican pop
102, screamo
103, reggaeton flow
104, escape room
105, electronic trap
106, punk
107, new romantic
108, disco
109, pixie
110, swedish pop
111, acoustic pop
112, new americana
113, indie anthem-folk
114, pop reggaeton
115, metropopolis
116, metalcore
117, vapor soul
118, focus
119, hardcore hip hop
120, deep german hip hop
121, trap francais
122, jazz blues
123, brill building pop
124, deep funk carioca
125, folk
126, francoton
127, bass trap
128, swedish idol pop
129, southern rock
130, east coast hip hop
131, freak folk
132, chillwave
133, christian alternative rock
134, talent show
135, german hip hop
136, vocal jazz
137, groove metal
138, dance-punk
139, modern blues
140, ranchera
141, piano rock
142, worship
143, hollywood
144, soundtrack
145, boy band
146, g funk
147, lo-fi
148, british blues
149, redneck
150, soul blues
151, country rock
152, new jack swing
153, rock-and-roll
154, christian music
155, vegas indie
156, argentine rock
157, memphis soul
158, ccm
159, protopunk
160, noise pop
161, moombahton
162, deep underground hip hop
163, glam metal
164, deep pop edm
165, detroit hip hop
166, mpb
167, southern soul
168, sertanejo universitario
169, electric blues
170, cantautor
171, compositional ambient
172, german pop
173, traditional folk
174, melodic metalcore
175, britpop
176, outlaw country
177, christian rock
178, downtempo
179, deep dutch hip hop
180, underground pop rap
181, cumbia pop
182, dream pop
183, k-pop
184, complextro
185, alternative hip hop
186, korean pop
187, glam rock
188, chicago soul
189, tracestep
190, deep australian indie
191, funk metal
192, traditional country
193, grunge
194, pop emo
195, british invasion
196, deep german pop rock
197, indiecoustica
198, deep groove house
199, australian dance
200, trip hop
201, vapor twitch
202, grime
203, anthem worship
204, speed metal
205, scorecore
206, pagode
207, disco house
208, italian arena pop
209, italian pop
210, melancholia
211, classical
212, channel pop
213, indie psych-rock
214, catstep
215, lilith
216, anti-folk
217, samba
218, mariachi
219, reggae fusion
220, swedish folk pop
221, skate punk
222, minimal dub
223, slow core
224, roots reggae
225, video game music
226, cumbia
227, bubblegum pop
228, nu gaze
229, australian alternative rock
230, la indie
231, rockabilly
232, deep trap
233, duranguense
234, jazz
235, texas country
236, german techno
237, symphonic rock
238, chillhop
239, dancehall
240, bachata
241, progressive metal
242, alt-indie rock
243, bossa nova
244, reggae
245, candy pop
246, otacore
247, lift kit
248, french pop
249, nu jazz
250, madchester
251, merseybeat
252, romantic
253, comic
254, deep latin hip hop
255, progressive rock
256, space rock
257, power metal
258, classify
259, deep danish pop
260, alternative country
261, danish pop
262, etherpop
263, hoerspiel
264, uk funky
265, thrash metal
266, spanish rock
267, sky room
268, sertanejo
269, jam band
270, eurodance
271, trance
272, deep cumbia sonidera
273, nashville sound
274, mandopop
275, swedish indie rock
276, finnish dance pop
277, lounge
278, taiwanese pop
279, deep southern trap
280, brazilian hip hop
281, industrial metal
282, french hip hop
283, chamber psych
284, jazz funk
285, bolero
286, deep euro house
287, bow pop
288, swedish alternative rock
289, post-punk
290, deep taiwanese pop
291, shiver pop
292, turkish pop
293, alternative emo
294, progressive trance
295, cool jazz
296, bubblegum dance
297, forro
298, finnish pop
299, salsa
300, c-pop
301, show tunes
302, world worship
303, filter house
304, nueva cancion
305, preverb
306, country dawn
307, punk blues
308, brooklyn indie
309, post-screamo
310, cabaret
311, merengue
312, power pop
313, minimal
314, opm
315, swedish eurodance
316, uk post-punk
317, vocal house
318, danspunk
319, indie garage rock
320, deep new americana
321, axe
322, chanson
323, melodic death metal
324, industrial rock
325, jazz fusion
326, deep regional mexican
327, italian hip hop
328, modern classical
329, garage psych
330, classic swedish pop
331, turkish rock
332, bebop
333, post rock
334, spanish pop rock
335, deep swedish hip hop
336, irish rock
337, dutch pop
338, movie tunes
339, post-disco
340, contemporary post-bop
341, west coast trap
342, swedish hip hop
343, ninja
344, texas blues
345, cantopop
346, blues
347, dutch house
348, anthem emo
349, norwegian pop
350, chillstep
351, minimal techno
352, chilean rock
353, canadian indie
354, experimental rock
355, dutch hip hop
356, acid jazz
357, wrestling
358, melodic hardcore
359, easy listening
360, fourth world
361, progressive bluegrass
362, microhouse
363, big beat
364, norwegian indie
